selector,episode_id,timestep,regime_id,action,loss,best_loss,regret,selected_param_1,selected_param_2,selected_param_3
Privileged Classifier,0,0,2,1,0.00036351609682607893,0.00036351609682607893,0.0,0.9355693459510803,0.27300360798835754,0.3688089847564697
Privileged Classifier,0,1,1,0,0.014029881224665912,0.013258099701721362,0.0007717815229445497,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,0,2,1,4,0.0049800053642754406,0.004763884389197565,0.00021612097507787541,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,0,3,1,4,0.0038839383997603394,0.0005446344267740037,0.0033393039729863357,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,0,4,1,0,0.024006916089574653,0.020286017948136434,0.003720898141438219,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,0,5,2,4,0.023419319019573226,0.006912886445063442,0.016506432574509785,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,0,6,2,0,0.030117390421505453,0.016257045868480872,0.013860344553024581,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,0,7,2,0,0.09765781086388779,0.08417349720142567,0.013484313662462125,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,0,8,2,5,0.45498627451895457,0.11782636940954662,0.33715990510940796,0.958314061164856,0.4107476472854614,0.42773792147636414
Privileged Classifier,0,9,0,5,0.013045371263870087,0.008966177042191438,0.004079194221678649,0.958314061164856,0.4107476472854614,0.42773792147636414
Privileged Classifier,0,10,0,6,0.005091309075340228,0.001132578204662346,0.003958730870677881,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,0,11,0,3,0.018884383074500986,0.005194853199934694,0.013689529874566293,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,1,0,1,4,0.0015556074568630193,0.0014643605618822907,9.124689498072854e-05,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,1,1,1,0,0.021564974612117666,0.017512325290818552,0.004052649321299114,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,1,2,1,0,0.0004787698857865877,0.0005253185096437415,-4.654862385715375e-05,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,1,3,1,6,0.009968133905836549,0.0030517609939371185,0.00691637291189943,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,1,4,0,6,0.02208295962137825,0.01223747614398671,0.00984548347739154,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,1,5,0,6,0.017330318409157337,0.015417176882120673,0.0019131415270366645,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,1,6,0,6,0.053937142674302975,0.036341610469233405,0.01759553220506957,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,1,7,0,5,0.01733931603771749,0.0012028815359906232,0.016136434501726866,0.958314061164856,0.4107476472854614,0.42773792147636414
Privileged Classifier,1,8,0,6,0.05786118652490396,0.049003858562660825,0.008857327962243138,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,1,9,0,5,0.04192450364301292,0.017148236686423592,0.02477626695658933,0.958314061164856,0.4107476472854614,0.42773792147636414
Privileged Classifier,1,10,0,6,0.07470960595101382,0.0680008538428849,0.006708752108128921,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,1,11,0,3,0.008037151554422799,0.00017111312189029487,0.007866038432532503,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,2,0,1,4,0.0008746208714369937,0.0008080428306424362,6.657804079455759e-05,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,2,1,1,4,0.0005875468706920124,0.00025460901989651015,0.00033293785079550225,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,2,2,1,4,0.0013823358309670835,0.0013745724683857602,7.763362581323296e-06,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,2,3,0,4,0.02319190167798494,0.02319190167798494,0.0,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,2,4,0,0,0.007020754765641683,0.0007892871398540871,0.0062314676257875954,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,2,5,1,3,0.0006204824784075804,0.0002944716937819787,0.0003260107846256017,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,2,6,1,4,0.0014487649137262287,0.0009864373146107643,0.0004623275991154645,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,2,7,1,3,0.029106567599743085,0.02326342762738375,0.005843139972359336,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,2,8,1,0,0.04202398151238703,0.016928661270060215,0.025095320242326816,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,2,9,1,3,0.025103452507124317,0.006028657072904781,0.019074795434219534,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,2,10,1,3,0.0012398981679606143,0.0010234043439862547,0.00021649382397435956,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,2,11,1,4,0.007246246726818214,0.006996809248423347,0.00024943747839486705,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,3,0,2,1,0.009611009307995622,0.009611009307995622,0.0,0.9355693459510803,0.27300360798835754,0.3688089847564697
Privileged Classifier,3,1,2,5,0.007354002203580193,0.004815295524627542,0.002538706678952651,0.958314061164856,0.4107476472854614,0.42773792147636414
Privileged Classifier,3,2,2,5,0.012544868377812442,0.006688728512105645,0.005856139865706797,0.958314061164856,0.4107476472854614,0.42773792147636414
Privileged Classifier,3,3,2,0,0.10379609938873424,0.1061811390150557,-0.0023850396263214585,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,3,4,2,3,0.26124946627183404,0.04989793485768554,0.2113515314141485,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,3,5,2,0,0.7639536590193228,0.32857181487373865,0.4353818441455841,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,3,6,2,6,0.35921213509188976,0.004049944616081415,0.3551621904758083,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,3,7,2,6,0.06083430893901157,0.001368190748049252,0.059466118190962314,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,3,8,2,6,0.027320522313270968,0.010309634172728097,0.01701088814054287,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,3,9,2,6,0.08301752182447275,0.005252559742174308,0.07776496208229844,0.6090333461761475,0.7679992318153381,0.01738862320780754
Privileged Classifier,3,10,2,3,0.007655383836461187,0.0058174533567599005,0.0018379304797012863,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,3,11,1,0,0.03525993271902951,0.029734872685956107,0.005525060033073403,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,4,0,0,1,0.004103151854397396,0.004103151854397396,0.0,0.9355693459510803,0.27300360798835754,0.3688089847564697
Privileged Classifier,4,1,0,1,0.0044690421958980715,0.0030689561732256537,0.0014000860226724178,0.9355693459510803,0.27300360798835754,0.3688089847564697
Privileged Classifier,4,2,0,0,0.024382677908488446,0.024281280016766413,0.00010139789172203262,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,4,3,1,3,0.012039856951371714,0.0038209072171298784,0.008218949734241835,0.9059982895851135,0.39207783341407776,2.525325298309326
Privileged Classifier,4,4,1,4,0.025472028331325378,0.02262382421652735,0.0028482041147980287,0.5879822373390198,0.709174394607544,0.16061949729919434
Privileged Classifier,4,5,1,0,0.122806566788375,0.058730162823952596,0.06407640396442241,0.9573584198951721,0.46836692094802856,2.6546149253845215
Privileged Classifier,4,6,1,6,0.015050394798881607,0.0018265413504392459,0.01322385344844236,0.6090333461761475,0.7679992318153381,0.01738862320780754
